Titre,Lien,Description,Tags,Date,Nom_de_la_chaine,Nombre_de_like,Nombre_de_vue;;;;;;
"La mairesse de Longueuil infectée; la liste des politiciens en isolement s&#39;allonge   reportage,https://www.youtube.com/watch?v=1zHY7SCUSpg,""Au moins trois ministres, trois députés, un maire et une mairesse ont dû se placer en isolement après avoir appris que la mairesse de Longueuil, Sylvie Parent, avait contracté la COVID-19.    Au moment d’écrire ces lignes, déjà une dizaine d’élus s’étaient placés en isolement volontaire, de façon préventive, en raison d'un véritable effet domino. On parle entre autres des ministres François Bonnardel, Chantal Rouleau et Simon Jolin-Barrette.  Le maire de Laval, Marc Demers, et la mairesse de Montréal, Valérie Plante, ont aussi annoncé mardi avant-midi qu’ils s’isolaient de façon préventive.  Ce n’est qu'au retour du long congé de la fête du Travail qu’ils ont appris que la mairesse de Longueuil avait obtenu, dimanche dernier, un résultat positif suite à un test de dépistage pour la COVID-19.   Dans un communiqué de presse diffusé mardi matin, la mairesse Parent a révélé qu’elle avait commencé à ressentir, vendredi dernier, «des symptômes légers de la COVID-19». «Une toux, quelques courbatures», a-t-elle précisé en après-midi.  «Dès le lendemain et après qu’on m’ait informé d’un test positif chez une personne que j’avais côtoyée, j’ai pris la décision de passer un test», a déclaré Mme Parent.  «Conformément aux directives de la Santé publique, je me suis immédiatement placée en isolement pour une période d'au moins 10 jours», a-t-elle ajouté.   Un voyage annulé, trois ministres isolés      La nouvelle a aussitôt suscité un branle-bas de combat dans différents cabinets ministériels du gouvernement Legault.   Le ministre des Transports, François Bonnardel, et la ministre responsable de la Métropole, Chantale Rouleau, ont décidé rapidement de se placer en isolement.   C’est que mercredi dernier, ils étaient tous deux aux côtés de la mairesse Parent, lors d’une annonce pour le Réseau métropolitain de voies réservées.   En conséquence, le ministre Bonnardel, qui devait prendre l’avion mardi pour participer à une importante rencontre au sommet avec le gouvernement Ford, en Ontario, a été contraint d’annuler son voyage à la dernière minute.   Quant au premier ministre François Legault, qui n’a eu aucun contact avec la mairesse de Longueuil au cours des derniers jours, il s'est envolé comme prévu vers Toronto, avec d’autres ministres.   La liste s’allonge      La liste des élus affectés n’a pas tardé à s’allonger: le ministre de la Justice, Simon Jolin-Barrette, qui a lui aussi côtoyé la mairesse Parent lors d’une autre annonce, jeudi dernier, a dû s’isoler en attendant le résultat de son test. Idem pour le député caquiste de Vachon, Ian Lafrenière et la députée indépendante de Marie-Victorin, Catherine Fournier, qui ont assisté à des annonces avec la mairesse Parent, la semaine dernière. Et même chose pour le personnel des cabinets ministériels qui était présent.  La députée solidaire de Mercier, Ruba Ghazal, qui a rencontré de son côté le ministre Simon Jolin-Barrette, vendredi dernier, a décidé de prendre les mêmes précautions.  Le ministre délégué à la Santé, Lionel Carmant, qui a participé à une rencontre avec la mairesse Plante et la ministre Rouleau, la semaine dernière, se fera aussi dépister de façon préventive. «M. Carmant n’est pas en isolement pour l’instant, mais il n’est en contact avec personne», a précisé sa directrice des communications, Marie Barrette.   «Ça montre à tout le monde comment c'est virulent. Je pense que les gens voient que malgré trouvent toutes les précautions qu'on peut prendre, [...] c'est un traitre ce virus-là», a commenté le ministre de la Santé, Christian Dubé, lors d'une conférence de presse.  La mairesse de Longueuil infectée, trois ministres isolés - déclaration du ministre de la Santé Play Video «Je suis très triste pour mes collègues, j'espère que les nouvelles sont bonnes», a ajouté le ministre Dubé, en ayant une pensée pour la mairesse Parent.    La Direction de la santé publique a détaillé la façon dont elle procédait dans un cas comme celui-ci.  «Il faut savoir que lorsqu'un cas positif est déclaré, la Direction de santé publique effectue une enquête auprès de la personne touchée. Cette enquête permet d'identifier les contacts étant jugés à risque, qui doivent subir un test et s'isoler. Ce risque, qu'on qualifie de modéré ou élevé, implique un contact à moins de 2m pendant 15 min (cumulé) sans équipement de protection individuel. Les personnes n'ayant pas été contactées ne correspondent pas à cette définition», a-t-on fait savoir.  «Si toutefois elles avaient des inquiétudes, ou encore si elles développaient des symptômes, elles peuvent subir un test en appelant au 1-877-644-4545. Enfin, les contacts pour qui des recommandations de santé publique s’appliquent sont jointes personnellement par la DSP en cours d’enquête.»"",,2020-09-11,""Cumulo Nimbus"",2,67";;;;;;
"08 juillet 2021 - Comment lutter contre l&#39;isolement ?,https://www.youtube.com/watch?v=Rw2UA_XrTFY,""Découvrez avec Isabelle, psychanalyste, les solutions pour lutter contre l'isolement.  Notre objectif : que votre chez-vous soit plus agréable à vivre !   Votre conférencière : Isabelle Palacin a été journaliste pendant plus de 20 ans. Elle est depuis 10 ans psychanalyste et accompagne notamment les aidants.  Inscription aux prochaines visio-conférences sur : http://movadom.eventbrite.com​"",,2021-07-08,Movadom,4,129";;;;;;
"17 juin 2021 - L&#39;isolement social et la détresse psychologique en contexte de pandémie.,https://www.youtube.com/watch?v=hS4KZAitZX0,""Conférence AvantÂge sur le thème de la pandémie de COVID-19, avec Dr Jean-Philippe Gouin, Ph. S., psychologue clinicien et professeur au département de psychologie de l’Université de Concordia, et Dr Sébastien Grenier, professeur au département de psychologie de l’Université de Montréal, et chercheur au Centre de recherche de l’Institut universitaire de gériatrie de Montréal."",,2021-06-28,""Institut universitaire de gériatrie de Montréal"",9,1020";;;;;;
"Projet MEDEE &quot;Fiabilité du Système d&#39;Isolation Electrique&quot; (S. Duchesne, LSEE),https://www.youtube.com/watch?v=ewePVnX56rM,""Stéphane Duchesne nous présente le projet labellisé par le Pôle MEDEE FiabSIE """"Fiabilité du Système d'Isolation Electrique""""  Stéphane Duchesne est enseignant chercheur à l'Université d'Artois au sein du LSEE (Laboratoire Systèmes Electrotechniques et Environnement), l'un des membres fondateurs du Pôle MEDEE."",,2018-01-30,""Research Cluster MEDEE"",0,65";;;;;;
"ÉTUDIANTS ÉTRANGERS ET DES DOM-TOM EN FRANCE MÉTROPOLITAINE: Isolement, galères admin, crous, ladom,https://www.youtube.com/watch?v=cEtRjM8Ra5w,""Vous avez peut-être quitté votre environnement familiale pour aller poursuivre vos études ailleurs. Les difficultés s'accumulent et vous vous retrouvez isolé (e)... Non la meilleure option n'est pas de rien dire, il faut en parler, demander de l'aide quand c'est nécessaire.... Partagez-nous vos expériences et conseils en commentaires.   FAMM: https://www.facebook.com/famm.assos/  LADOM: https://www.ladom.fr/  MON BLOG: https://lesaventuresdenas.com/"",""DOM-TOM ladom ISOLEMENT le_CROUS"",2020-06-17,""Nanas LaComor'N"",57,1381";;;;;;
"Boris Cyrulnik - Psychothérapie de Dieu,https://www.youtube.com/watch?v=0UJP2H1E2w4,""Dans son dernier ouvrage Psychothérapie de Dieu publié aux éditions Odile Jacob, Boris Cyrulnik propose d'ouvrir une réflexion pour une psychothérapie du sacré et analyse des liens entre l'attachement religieux individuel ou collectif et les conditions sociales, économiques, politiques, ou historiques, mais aussi le sentiment de sécurité. Rencontre animée par Martine Lani-Bayle, qui a été pendant vingt ans psychologue clinicienne, puis enseignante, et auteure notamment de Les Secrets de famille (éd. Odile Jacob, 2007).  #BorisCyrulnik #Psychotherapie #Religion  --------------------------  Boris Cyrulnik est neuropsychiatre et directeur d’enseignement à l’université de Toulon. Après une formation en médecine, Boris Cyrulnik se tourne vers l'éthologie, la psychologie, la neurologie et la psychanalyse, il se fait auteur pour rendre public son savoir et le mettre à portée du plus grand nombre. Il connaît d’immenses succès, et notamment avec Sauve-toi, la vie t’appelle, premier tome de ses Mémoires, ou encore Les vilains petits canards, Ivres paradis, bonheurs héroïques. La notion de résilience caractérise son travail.  ---------------------------- Abonnez-vous à la chaîne pour retrouver toutes nos vidéos : https://www.youtube.com/UnivNantes/?sub_confirmation=1  Retrouvez les conférences de l'Université de Nantes sur France Culture : https://www.franceculture.fr/conferences/universite-de-nantes  Suivez l'Université de Nantes sur les réseaux sociaux : FACEBOOK : https://www.facebook.com/univnantes/ TWITTER : https://twitter.com/UnivNantes INSTAGRAM : https://www.instagram.com/univnantes/"",""Boris_Cyrulnik Religion Croyance Psychologie Sacré Dieu Résilience Attachement Esprit Récit Cerveau Nantes Neurologie Force Spiritualité Culture Société"",2018-03-20,NantesUniv,772,67579";;;;;;
"L&#39;isolation va-t-elle devenir obligatoire en Wallonie ? - Interview complète de Damien Ernst,https://www.youtube.com/watch?v=Hpo2abV2IaM,""Nous avons eu la chance de rencontrer Damien Ernst qui est professeur à l’Ulg et expert en énergie renouvelable. Nous l'avons interrogé sur la question principale : """"L'isolation va-t-elle devenir obligatoire en Belgique ?"""" Ainsi nous avons pu également retirer son avis global sur l'isolation et les solutions pour répondre aux attentes européennes en matière énergétique."",""Damien Ernst Lampiris Isolation Transition Energietique Toiture Belgique Wallonie Primes Investissement Decret Region Flandres Gouvernement Ministre Interview Obligation Legale Energie Renouvelable"",2017-04-19,""Lampiris SA/NV"",7,695";;;;;;
"L’argile, liant d’avenir | Fionn McGregor | TEDxENTPE,https://www.youtube.com/watch?v=UxJXQ1Ya674,""Fionn McGregor est chercheur au Laboratoire de Tribologie et de Dynamique des Systèmes (LTDS) sur le site de l’ENTPE. Il travaille dans le domaine du génie civil sur les matériaux de construction, principalement sur les matériaux écologiques et leur comportement multi-physique. Il s’est d’abord spécialisé à travers un parcours universitaire sur les argiles, en suivant le master national argiles de l’université de Poitiers, mais également par ses expériences professionnelles au Brésil, au Portugal et en Australie toujours en lien avec les argiles. Il a par la suite poursuivi en thèse à l’université de Bath au Royaume-Uni sur les matériaux de construction à base de terre crue alliant ainsi deux de ces principaux centres d’intérêt : la construction écologique et les argiles. À travers le talk « L’argile, liant d’avenir », Fionn souhaite partager son intérêt pour l’argile et son utilisation dans le bâtiment, et par l’occasion montrer les nombreuses facettes d’un matériau unique. Fionn McGregor est chercheur au LTDS (Laboratoire de Tribologie et de Dynamique des Systèmes) sur le site de l’ENTPE. Il travaille dans le domaine du génie civil sur les matériaux de construction, principalement sur les matériaux écologiques et leur comportement multi-physique. Il s’est d’abord spécialisé à travers un parcours universitaire sur les argiles, en suivant le master national argiles de l’université de Poitiers, mais également par ses expériences professionnelles au Brésil, au Portugal et en Australie toujours en lien avec les argiles. Il a par la suite poursuivi en thèse à l’université de Bath au Royaume-Uni sur les matériaux de construction à base de terre crue alliant ainsi deux de ces principaux centres d’intérêt : la construction écologique et les argiles. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx"",""TEDxTalks French Science Environment Materials Recycling Sustainability"",2020-03-24,""TEDx Talks"",267,11307";;;;;;
"ALCOOLISME : HORS L&#39;ABSTINENCE, POINT DE SALUT ?,https://www.youtube.com/watch?v=mkfMkOr1EKs,""Depuis le 23 février, l’alcool est interdit dans certaines rues de la capitale dès 11h du matin. Une décision prise sous prétexte de rassemblements jugés indésirables dans le contexte de crise sanitaire. Comme si personne ne se retrouvait pour partager un déjeuner ou un café. Et cette stigmatisation de l’alcool, loin d'être anecdotique, a des conséquences sur la santé.  En effet pendant des décennies, le milieu médical n’a eu d’autre option que l’abstinence totale à proposer. Et les consommateurs ont vécu des décennies avec l'épée de Damoclès de la rechute comme seule compagne d’infortune. Ce “dogme abstinenciel” imprégnant le secteur sanitaire et social a ainsi montré ses limites.  Le sevrage s'il est répété est en effet délétère. Il peut même s’avérer mortel s’il est brutal et sans encadrement. Certaines institutions dont les règlements intérieurs interdisent l’alcool se sont par ailleurs placées hors la loi, rendant de plus leurs structures inaccessibles aux patients en ayant le plus besoin. Outre les retards de prise en charge, pour les personnes désireuses de soins, les postures attendues ont aussi été sources de culpabilisation et d’une moins bonne relation avec les soignants.  Heureusement, une nouvelle manière de concevoir notre rapport à la substance existe et la démarche de réduction des risques (RDR) tend à se développer. Alors sur quels principes, pour quels résultats et surtout de quelle manière est-ce que cela interroge de nos représentations sociales de l’alcool? Bienvenue dans l’épisode numéro 3 de Symptômes Critiques.  ▶ Soutenez Le Média :   https://soutenez.lemediatv.fr/  https://www.okpal.com/le-media/  https://fr.tipeee.com/le-media   Suivez-nous :  Facebook : http://bit.ly/FacebookLeMedia Twitter : http://bit.ly/TwitterLeMedia Youtube : http://bit.ly/YouTubeLeMedia Peertube : https://video.lemediatv.fr Telegram :  https://t.me/LeMediaOfficiel  Rejoignez la communauté des Socios !  #Alcoolisme #Abstinence #Santé"",""alcool alcoolisme addiction abstinence santé france hôpital psychologie psychiatrie"",2021-02-28,""Le Média"",1198,53716";;;;;;
"Comment Mohammed Ben Salmane a pris le pouvoir en Arabie Saoudite,https://www.youtube.com/watch?v=-CHfvTvt20o,""En quelques mois, Mohammed Ben Salmane a rouvert les cinémas en Arabie Saoudite, autorisé de nouveaux les concerts dans les lieux publics et permis aux femmes de conduire. Celui que l’on surnomme « MBS » n’a que 36 ans mais il est déjà bien connu hors des frontières saoudiennes. Emmanuel Macron l'a d'ailleurs reçu à Paris en juillet 2022. Mohammed Ben Salmane occupera le trône après la mort de son père, le roi Salman. Pourtant, en 2015, il ne figurait même pas dans l’ordre de succession au trône. Comment est-il arrivé là ? Réponse en trois étapes. _______  Abonnez-vous à la chaîne YouTube du Monde dès maintenant :  http://www.youtube.com/subscription_center?add_user=LeMonde"",""international petrole islam arabie riyad roi_salman salman explainer ben_salman khashoggi"",2018-10-08,""Le Monde"",21072,2546726";;;;;;
"La Reine des Neiges - Nul n&#39;est parfait I Disney,https://www.youtube.com/watch?v=GDL7g0VA448,""Découvrez la chanson """"Nul n'est parfait"""" extraite du film Disney La Reine des Neiges ! Ouvrez la description pour voir les paroles.  Toutes les musiques de #LaReinedesNeiges : https://www.youtube.com/watch?v=wQP9XZc2Y_c&list=PLU5-6mn9YBf2RjkQqIexyqdUUTDQezbtV  ► Toutes les chansons des grands classiques #Disney : https://www.youtube.com/playlist?list=PLU5-6mn9YBf2GRSsGqTnr4Hmosr7zaqck  ► Retrouvez les extraits, bonus et reportages de La Reine des Neiges : https://www.youtube.com/watch?v=wQP9XZc2Y_c&list=PLU5-6mn9YBf1DTUe46fDhZ0PJ-CSgEJy-  ► Abonnez-vous pour ne rien rater de l'actualité française de Disney ! http://bit.ly/AbonnementDisney  ► Découvrez les bandes annonces de nos prochains films Disney et Disney.Pixar : https://www.youtube.com/playlist?list=PLU5-6mn9YBf32hunKCBytmHP8-UyN2iC-  ► Découvrez nos collections de produits Disney, Marvel et Star Wars sur : https://www.shopdisney.fr/  [Paroles] Que se passe t-il mon ange? Pourquoi refusez-vous les avances d'un si beau garçon? Est-ce parce que qu'il marche de travers?  Ou qu'il a mauvais caractère?  Ou ces drôles de poires qui lui servent de pieds? Pour se laver il attend la pluie Il a son odeur bien à lui  Mais on ne connaît personne d'aussi tendre ! ! !   ! ! !Et attentionné ! Il est peut-être un peu moins que parfait Il est peu raffiné  Son cerveau à l'envers ! ! ! Sa passion pour les cerfs ! ! ! C'est vrai qu'il à l'air un peu perturbé  !  C'est pas vrai, enfin assez !  Il est peut-être un peu moins que parfait Mais on est sûrs qu'un jour Il pourra devenir presque parfait Il suffit d'un peu d'amour !  S'il vous plaît, est-ce qu'on pourrait changer de sujet ? Nous sommes là parce que nous avons un véritable problème !  Ça se voit, alors dites-moi trésor ! ! ! Est-ce parce que c'est un gros peureux?  Que des amis il en a peu? Ou qu'il aime faire pipi dans l'herbe au fond des bois ?  Dites pas que vous le trouvez laid C'est un charmant petit blondinet  Son humilité cache l'âme et la bonté d'un roi  Il est peut-être un peu moins que parfait Pourtant les poux et les puces l'aiment bien Cette drôle d'attitude, c'est la solitude Il n'a pas l'habitude des gros câlins ! Il est peut-être un peu moins que parfait Mais nous savons pourquoi Il faut que vous fassiez le premier pas Allez, on compte jusqu'à trois  Elle est peut-être un peu moins que parfaite  Plusieurs trolls : Tout ça est très vague Elle n'est que fiancée Tout ça peut s'arranger ! ! ! Oui, d'autant plus qu'elle n'a pas de bague !  Elle est peut-être un peu moins que parfaite Elle est toute chamboulée  ! Débarrassons-nous du fiancé Et là tout sera réglé  !  N'essayez pas de le changer Ici-bas nul n'est parfait Mais l'amour est un sentiment fort Qui reste plein de secrets On fait de mauvais choix Quand on est triste ou qu'on a peur Donnons aux autres un peu d'amour  Donnons aux autres un peu d'amour !  Ça les rendra meilleurs !  Oui, l'amour rend meilleur ! Oui, nous sommes tous un peu moins que parfaits ! Sinon ce ne serait pas drôle ! Le père ! La sœur ! Le frère !  On a tous besoin les uns des autres Chacun son rôle C'est vrai on est tous un peu moins que parfaits Mais comme il faut faire court ! ! !  Ce qui rend presque parfaits les gens un peu moins que parfaits c'est ! ! !  L'amour ! L'amour ! L'amour, c'est l'amour ! L'amour ! L'amour !  Acceptez-vous Anna de prendre pour époux Kristoff, pour le meilleur et pour le pire ?  Qu'est-ce que vous faites?  Je vous marie  L'amour  !  ----------------------------------------------------------  Laissez-vous emporter par la magie... Bienvenue sur la chaîne YouTube officielle de Disney ! Des Aristochats au Roi Lion, en passant par La Reine des Neiges ou Vaiana, la légende du bout du monde : toutes les chansons des Grands Classiques Disney sont là ! Apprenez-en plus sur nos films à venir : bandes-annonces, extraits, bonus et bien plus encore !  Visitez notre site : https://disney.fr Instagram : https://www.instagram.com/DisneyFR Facebook : https://www.facebook.com/disneyfrance Twitter : https://twitter.com/disneyfr  #Disney #LaReinedesNeiges"",""Disney anais_delva anna elsa idina_menzel kristen_bell kristoff olaf princesse chanson chanson_disney musique musique_disney paroles disney disney_france en_français france french officiel pixar"",2014-12-08,""Disney FR"",24906,12895179";;;;;;
"Dans la Creuse, le Président Emmanuel Macron échange avec une soixantaine de jeunes.,https://www.youtube.com/watch?v=9LysMV2F5hQ,""Pour suivre la Présidence de la République :";;;;;;
 Facebook : https://www.facebook.com/elysee.fr;;;;;;
 Twitter : https://twitter.com/elysee;;;;;;
 Instagram : https://www.instagram.com/elysee;;;;;;
" LinkedIn : https://www.linkedin.com/company/pr-sidence-de-la-r-publique"",,2022-01-24,Élysée,237,11612";;;;;;
"Bénévoles et isolement social en temps de pandémie,https://www.youtube.com/watch?v=odCHLtIGIaE,""Compte tenu des préoccupations croissantes concernant l'isolement social, la santé mentale, le bien-être et la fatigue associés à la pandémie, Bénévoles Canada a choisi de se pencher sur comment soutenir les bénévoles et leur bien-être en ces temps difficiles. Dans ce webinaire, nous sommes rejoints par deux invités : Catherine Harton de l’Association canadienne pour la santé mentale présente la situation dans son ensemble et partage des outils pour soutenir une bonne santé mentale et Djakaridja Koné du Centre d’action bénévole et communautaire de Saint-Laurent présente un programme que son organisme a récemment mis en œuvre dans le but de contrer l’isolement social chez les aînés."",,2021-05-21,""Volunteer Canada"",5,113";;;;;;
"Envoyé spécial. L&#39;intégrale du 10 janvier 2019 (France 2),https://www.youtube.com/watch?v=GAdGkMIqkcM,""Au sommaire : - Docteur Courage - Maisons écolos : gare au fiasco !  - Cacao, les enfants pris au piège  Docteur Courage. Les médecins sont de plus en plus nombreux à subir, dans leur cabinet, des vols, des dégradations, injures ou menaces mais aussi des agressions physiques...  Maisons écolos : gare au fiasco ! Enquête sur les dessous pas toujours reluisants de l’habitat écologique.   Cacao, les enfants pris au piège. Le travail des enfants dans les plantations a-t-il disparu, comme s'y est engagée l'industrie du chocolat en 2001 ? """"Envoyé spécial"""" a enquêté en Côte d'Ivoire, premier producteur mondial de cacao"",""france_2 Elise_Lucet DOcteur cacao côte_d'ivoire burkina-faso écologie Plantoun"",2019-01-14,""Envoyé Spécial"",573,116808";;;;;;
"Isolement 1: l&#39;accent en langue seconde,https://www.youtube.com/watch?v=2G6d7VkEePI,""N'HESITE PAS À COMMENTER, LIKER ET PARTAGER !";;;;;;
 ;;;;;;
 Facebook : https://www.facebook.com/linguisteinsolente/?fref=ts;;;;;;
 Twitter : https://twitter.com/InsolenteLing;;;;;;
" S'abonner : https://www.youtube.com/channel/UCeEb8pfFV5zWNX2fCiG6UDw"",""insolente linguiste linguistique français québécois Québec langue langue_seconde phonème phonétique francisation"",2020-03-20,""L'insolente linguiste"",251,4422";;;;;;
"Comment diagonaliser une matrice 3x3 ? - partie 1,https://www.youtube.com/watch?v=hq6WAnXIXO4,""Pour plus d'infos, des bonus et de nombreux autres exercices corrigés, rendez-vous sur https://www.methodemaths.fr ! Pour accéder à l'énoncé de l'exercice : https://www.methodemaths.fr/matrices/#exo5 Page FACEBOOK : https://www.facebook.com/MethodeMath/ Page TIPEEE pour soutenir Méthode Maths : https://fr.tipeee.com/methode-maths Pour accéder à Méthode Physique : https://www.methodephysique.fr"",""corrigé annales baccalauréat exercice méthode maths methodemaths méthodemaths mathématiques terminale math cpge prépa matrice méthode_prepa méthode_math classes_prépa"",2014-08-02,""Méthode Maths"",3153,446737";;;;;;
"Les Rencontres de l&#39;EAD - APUI - les bonnes pratiques des formations à distance - Thierry Spriet,https://www.youtube.com/watch?v=NHQmXtMeN5o,""Thierry Spriet est également responsable de la mission d'appui à la pédagogie, enseignant chercheur en informatique et responsable du Cursus Master en ingénierie informatique d'Avignon. Après la présentation des réflexions menées pendant la pandémie par la mission d'appui à la pédagogie universitaire et innovante d'Avignon Université sur les bonnes pratiques en enseignement à distance, Thierry Spriet a animé un webinaire sur les bonnes pratiques en EAD dans la continuité du livre de blanc édité par la FIED.  Guide d'APUI : https://apui.univ-avignon.fr/conseils-pour-enseigner-a-distance/"",""APUI FIED"",2022-06-12,""FIED - Enseignement à distance"",6,254";;;;;;
"Hôpital Cadillac :  les fous les plus dangereux de France !,https://www.youtube.com/watch?v=Hos5AwU8NL0,""Ce sont ceux que l'on ne veut plus voir. Ceux que le monde aimerait oublier. Beaucoup parmi eux ont tué ou violé. Ils sont tellement dangereux, que ni les prisons, ni les hôpitaux psychiatriques n'en veulent. Pour eux, une seule solution : l'unité pour Malades Difficiles de Cadillac. Cent quatre hommes y sont internés car ils représentent un danger pour tous ceux qui les approchent, ce sont les fous les plus dangereux de France. Pendant un mois, notre caméra a pu partager la vie de ces malades et de leurs infirmiers. Emission Zone Interdite"",""reportage documentaire urgence psychologique Cadillac gironde malade dangereux interne danger fous psychiatre psychiatrique"",2018-10-12,imineo,58213,6763922";;;;;;
"MÉTIER FAÇADIER : travailler sur l’isolation thermique par l’extérieur et la rénovation énergétique,https://www.youtube.com/watch?v=Yy26hD4r1VI,""Laissez-vous contacter par des entreprises pour trouver votre prochain job !  https://parfaitpourcejob.com  EPISODE 80 : Camille & Miguel découvrent le métier de Façadier. ABONNE-TOI ! https://www.youtube.com/maintenantjaimelelundi/?sub_confirmation=1 (merci )  Une question sur la formation, les métiers, les dispositifs ? Cap Métiers vous répond au 0 800 940 166 ou ici : https://www.cap-metiers.fr/des-questions  Aujourd’hui on découvre le métier de façadier ! Multitâche, le façadier est un enduiseur, un ravaleur, il intervient sur les façades pour les rénover, les isoler... bref, rendre l’habitat plus confortable !   Pourquoi a-t-on choisi ce métier ? Et bien parce que c’est un métier qui a pas mal bougé ces dernières années, avec notamment la démocratisation de l’ITE, isolation thermique par l’extérieur. Et qui dit évolutions dit... recrutement à gogo ! Un secteur qui regorge d’offres d’emplois, partout en France, avec de très belles perspectives de carrières ! On vous laisse découvrir le métier et ce qu’il a à offrir dans cette vidéo ! Bon visionnage !  Pour découvrir ISO & FACE c'est par ici : https://www.isoface33.fr/  Vous avez aimé la vidéo ? Découvrez les photos de tournages et des anecdotes sur le métier sur notre compte Instagram : https://www.instagram.com/maintenantjaimelelundi/  #MJLL #orientation #métier  ***** PLAN DE LA VIDÉO *****  - Intro : 00:00:00 - Bonjour : 00:00:52 - Formation : 00:01:22 - Recrutement : 00:03:14 - Salaire : 00:04:08 - Mon métier c’est... : 00:05:26 - Un métier physique ? : 00:07:54 - Plus belle la vue : 00:08:28 - La façade demain : 00:08:54  *******************************  Pour ceux qui préfèrent lire et regarder des photos c'est par ici : https://www.maintenantjaimelelundi.fr/  Pour ceux qui veulent tout savoir en avant première c'est par ici : https://www.instagram.com/maintenantjaimelelundi ou par ici https://fb.me/maintenantjaimelelundi  Musique :  Psyche - Dyalla MULLE - FREEDOM!  LiQWYD - Morning Jb Boisseau - https://soundcloud.com/jb-boisseau  Design : https://www.luciebellot.com/"",""orientation métier façadier façadier_ite ite_facade ite_isolation"",2021-04-26,""Maintenant j'aime le lundi"",82,3451";;;;;;
"#280# Burn Out : Moyens de lutter contre la solitude isolement les dépressions GLOBALISEES ?,https://www.youtube.com/watch?v=bb08FeNKblM,""------------------------------------------------------------------------------------------------------------------------------------ MISS YEPAPOTE ?  Tite chercheuse autodidacte en solution d'amélioration individuelle & collective  ... Slasher: Essayist, Writer, Speaker : YouTube | Ebook Intelligence Humaine  Artificielle Innovation ... 3 co-services visio en ligne internationale : Yep2Talk  | Yep2Act  | Yep2Crypto  ---------------------------------------------------------------------------------------------------------------------------------------- CO-SERVICES SITES WEB X3 v.FR & ENG. CO-HELPING. AU PLAISIR DE VOUS AIDER   ️ YEP2TALK : https://yepapote.wixsite.com/yep2talk Discuter curiosités voire agir son équilibre personnel à 360° ...  Discuss curiosities or even act on your personal 360 ° balance ...  ️YEP2ACT :  https://yepapote.wixsite.com/yep2act Agir entreprendre l'amélioration continue de sa vie Perso, Pro, Tech ... To act to undertake the continuous improvement of his life Personal, Pro, Tech ...  ️ YEP2CRYPTO :  https://yepapote.wixsite.com/yep2crypto Agir entreprendre les crypto diversifications de ses risques opportunités ... To act to undertake the crypto diversifications of its risks opportunities ...  N'hésitez pas à consulter ces sites web et à m'encourager en vous abonnant likant mieux re-diffusant. GRAND MERCI ";-) Do not hesitate to consult these websites and to encourage me by subscribing liking better re-diffusing. BIG THANKS ;"-)  --------------------------------------------------------------------------------------------------------------------------------------- + DETAILS ️EBOOK GRATUIT FREE R&D sup.1000 pages  7 chap. https://yepapote.wixsite.com/yep2act/ebook ️30 PLAYLIST YOUTUBE EN VIUSEL PLUS CONFORT  https://yepapote.wixsite.com/yep2act/vlog ️PROFIL FORMATIONS DIPLÔMES PRO https://yepapote.wixsite.com/yep2act/yepapote ---------------------------------------------------------------------------------------------------------------------------------------- #Burnout #Maldesociété #Stress #Surmenage #Cerveausaturé"",""Burn_Out Burn Moyens lutter solitude isolement dépression Santé Cerveau ennemi Mindset force stress émotions émotionnelle mélancolie Solution Médecine douce psycho Burnout burn angoisse Intelligence intelligences artificielle humaine Humain Confiance objectif détermination yoga reposer Recentrage reprogrammer Equilibre se_soigner Bien-être"",2018-04-07,""YePapote Global"",0,16";;;;
"Les conséquences de la pandémie sur les étudiants,https://www.youtube.com/watch?v=3oZbXungNFM,""Les restrictions liées à la pandémie de #coronavirus ont des conséquences multiples pour les étudiants français comme ceux ailleurs dans le monde. Conséquences psychologiques, conséquences sur l'organisation des cours, conséquences sur la validation des examens, conséquences financières.  0:00 Le monde en face 0:36 En Italie, aucun cours depuis mars 1:45 En Allemagne, inquiétude sur l'état psychologique 2:45 En Grande-Bretagne, la question financière 3:59 En Espagne, l'organisation des examens  http://www.franceinfo.fr Twitter : https://twitter.com/franceinfo Facebook :  https://www.facebook.com/franceinfo/ Instagram : https://www.instagram.com/franceinfo/"",,2021-01-23,franceinfo,101,5204";;;;;;
"Rencontre littéraire et échanges avec  Fanny Colonna,https://www.youtube.com/watch?v=mX8x9V0Gcg8,""Au cours de """"La semaine Chaouis"""" organisée par  l'ACB, Fanny Colonna présente son livre « Le meunier, les moines et le bandit » (Sindbad -- Actes Sud). Récits - La Vie quotidienne dans les Aurès (Algérie) au tournant du XXe siècle."",""culture berbere Chaouis livre littérature"",2012-12-07,ACBparis,10,2007";;;;;;
